Document Id,Company Code,Document Number,Fiscal Year,Document Status,Exception Reason,Document type,DP Document Type,Credit Memo,Reference,Vendor,Total Amt in Doc Curr,Doc Currency,Amt in Report Currency,Re. Currency,Posting date,Due Date,Related Object Key,Days to Due,Overdue,Requisitioner Name,Vendor Name,Purchasing Document,Plant,Purchasing Group,Cycle Time,Document Date,Exception Date,Enter on,Enter at,Start on,Start at,End on,End at,Update Date,Update Time,Reversal Doc#,Revsed F_Year,Old Doc Num,Old Company Code,Old Fiscal Year,Creation Date,Creation Time,End on2,End at3,Doc Currency4,Process Type,Rescan Reason,Delete Reason,Target System,Rescan Reason Code,Obsoleter Reason Code,IDoc number,User Mapping Object ID,DP ID before restart,Days Past Due,Days to Due5,Processor ID,Current Invoice,Aged 1-30 Days,Aged 31-45 Days,Aged 46-60 Days,Aged 61-90 Days,Aged 90+ Days,Current Agent Email,Valid
16,,1646965,,,,,,,,4500,2855.00,,,,08/27/2016,,,,,,PARTS HOUSE LLC.,0000050016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,2022888,,,,,,,,2122,916.33,,,,04/04/2012,,,,,,WE SPRAY PESTICIDE CO.,0000050017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,2122911,,,,,,,,7732,3132.67,,,,10/02/2019,,,,,,Digital Supply Co,0000050018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,7736839,,,,,,,,2342,2884.00,,,,04/25/2013,,,,,,The Walter Co,0000050019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,3012841,,,,,,,,2342,1475.67,,,,09/21/2019,,,,,,The Walter Co,0000050020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,7021744,,,,,,,,1432,3209.67,,,,06/03/2010,,,,,,WESTERN PACKAGING,0000050021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,9270193,,,,,,,,9153,1296.00,,,,09/27/2018,,,,,,Water Supply INC,0000050022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,3783814,,,,,,,,1432,1990.67,,,,08/05/2014,,,,,,WESTERN PACKAGING,0000050023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,4202597,,,,,,,,7732,299.00,,,,04/13/2011,,,,,,Digital Supply Co,0000050024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,701829,,,,,,,,7732,2731.33,,,,10/05/2015,,,,,,Digital Supply Co,0000050025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,3422168,,,,,,,,2122,27.00,,,,06/24/2010,,,,,,WE SPRAY PESTICIDE CO.,0000050026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,9023758,,,,,,,,2122,2675.33,,,,06/27/2013,,,,,,WE SPRAY PESTICIDE CO.,0000050027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,1705375,,,,,,,,2122,1739.00,,,,11/17/2013,,,,,,WE SPRAY PESTICIDE CO.,0000050028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,4070536,,,,,,,,4500,2399.00,,,,01/09/2019,,,,,,PARTS HOUSE LLC.,0000050029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,9871122,,,,,,,,2049,144.00,,,,11/26/2016,,,,,,Example Company 1,0000050030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,6819593,,,,,,,,9834,1622.67,,,,03/08/2014,,,,,,Supply All INC,0000050031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,8201737,,,,,,,,9834,842.00,,,,08/18/2014,,,,,,Supply All INC,0000050032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,645803,,,,,,,,7732,1383.67,,,,01/03/2010,,,,,,Digital Supply Co,0000050033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,9890149,,,,,,,,7732,2390.00,,,,07/01/2010,,,,,,Digital Supply Co,0000050034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,6158667,,,,,,,,9153,2835.33,,,,03/13/2011,,,,,,Water Supply INC,0000050035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,3370428,,,,,,,,2342,2475.00,,,,08/09/2014,,,,,,The Walter Co,0000050036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,9804300,,,,,,,,9153,381.67,,,,02/16/2017,,,,,,Water Supply INC,0000050037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,2313324,,,,,,,,2342,2826.67,,,,04/22/2013,,,,,,The Walter Co,0000050038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,4794554,,,,,,,,4500,1666.00,,,,08/12/2019,,,,,,PARTS HOUSE LLC.,0000050039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,5986856,,,,,,,,4500,1896.67,,,,10/05/2011,,,,,,PARTS HOUSE LLC.,0000050040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,2274203,,,,,,,,2122,267.33,,,,03/15/2014,,,,,,WE SPRAY PESTICIDE CO.,0000050041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,3807286,,,,,,,,2049,438.67,,,,06/16/2018,,,,,,Example Company 1,0000050042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,2521212,,,,,,,,7732,2840.00,,,,04/17/2014,,,,,,Digital Supply Co,0000050043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,50933,,,,,,,,1432,2417.67,,,,11/17/2015,,,,,,WESTERN PACKAGING,0000050044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,6069964,,,,,,,,9834,543.67,,,,06/17/2013,,,,,,Supply All INC,0000050045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,4161181,,,,,,,,9834,1843.00,,,,10/09/2015,,,,,,Supply All INC,0000050046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,5082908,,,,,,,,1432,3148.67,,,,09/27/2014,,,,,,WESTERN PACKAGING,0000050047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,6233276,,,,,,,,2122,1280.33,,,,03/23/2017,,,,,,WE SPRAY PESTICIDE CO.,0000050048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,9926802,,,,,,,,2049,2001.67,,,,05/19/2015,,,,,,Example Company 1,0000050049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,1709124,,,,,,,,2049,1458.00,,,,03/03/2014,,,,,,Example Company 1,0000050050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,1281504,,,,,,,,1432,2704.33,,,,11/05/2013,,,,,,WESTERN PACKAGING,0000050051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,6639608,,,,,,,,9153,3211.67,,,,06/12/2013,,,,,,Water Supply INC,0000050052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,9025573,,,,,,,,9153,2873.33,,,,02/21/2015,,,,,,Water Supply INC,0000050053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,245714,,,,,,,,7732,2027.00,,,,01/26/2012,,,,,,Digital Supply Co,0000050054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,7000020,,,,,,,,1432,575.33,,,,07/04/2013,,,,,,WESTERN PACKAGING,0000050055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,4357039,,,,,,,,2342,1952.33,,,,04/02/2010,,,,,,The Walter Co,0000050056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,529179,,,,,,,,9834,122.33,,,,03/13/2013,,,,,,Supply All INC,0000050057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,5269583,,,,,,,,2049,3304.33,,,,04/26/2011,,,,,,Example Company 1,0000050058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,474792,,,,,,,,7732,820.67,,,,04/05/2016,,,,,,Digital Supply Co,0000050059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,5347923,,,,,,,,2049,2783.67,,,,02/23/2010,,,,,,Example Company 1,0000050060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,6678158,,,,,,,,2342,2922.67,,,,02/01/2012,,,,,,The Walter Co,0000050061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,3996100,,,,,,,,1432,2457.33,,,,05/22/2010,,,,,,WESTERN PACKAGING,0000050062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,9377970,,,,,,,,2049,1221.33,,,,04/24/2019,,,,,,Example Company 1,0000050063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,718938,,,,,,,,1432,1129.33,,,,08/28/2017,,,,,,WESTERN PACKAGING,0000050064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,6808273,,,,,,,,2122,2085.33,,,,05/13/2017,,,,,,WE SPRAY PESTICIDE CO.,0000050065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,6092893,,,,,,,,2122,856.33,,,,07/10/2014,,,,,,WE SPRAY PESTICIDE CO.,0000050066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,1996863,,,,,,,,9834,2400.33,,,,03/18/2013,,,,,,Supply All INC,0000050067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,7656824,,,,,,,,9834,3288.67,,,,09/08/2013,,,,,,Supply All INC,0000050068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,3976248,,,,,,,,2342,2151.33,,,,03/19/2012,,,,,,The Walter Co,0000050069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,3478523,,,,,,,,9834,2180.67,,,,02/25/2015,,,,,,Supply All INC,0000050070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,3546466,,,,,,,,9153,403.67,,,,01/26/2012,,,,,,Water Supply INC,0000050071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,7946256,,,,,,,,2122,2144.67,,,,06/12/2017,,,,,,WE SPRAY PESTICIDE CO.,0000050072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,6347481,,,,,,,,2122,66.00,,,,08/20/2012,,,,,,WE SPRAY PESTICIDE CO.,0000050073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,7408115,,,,,,,,2122,2405.00,,,,09/17/2010,,,,,,WE SPRAY PESTICIDE CO.,0000050074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,9390649,,,,,,,,1432,2777.67,,,,10/02/2013,,,,,,WESTERN PACKAGING,0000050075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,6962436,,,,,,,,2122,352.67,,,,01/19/2011,,,,,,WE SPRAY PESTICIDE CO.,0000050076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,723354,,,,,,,,9834,2822.00,,,,11/20/2018,,,,,,Supply All INC,0000050077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,2598399,,,,,,,,4500,2501.67,,,,02/06/2017,,,,,,PARTS HOUSE LLC.,0000050078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,8900695,,,,,,,,4500,796.00,,,,08/06/2017,,,,,,PARTS HOUSE LLC.,0000050079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,7276676,,,,,,,,4500,1295.67,,,,02/19/2019,,,,,,PARTS HOUSE LLC.,0000050080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,7965061,,,,,,,,2122,355.67,,,,05/19/2014,,,,,,WE SPRAY PESTICIDE CO.,0000050081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,6945369,,,,,,,,4500,625.33,,,,08/09/2015,,,,,,PARTS HOUSE LLC.,0000050082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,8685011,,,,,,,,4500,3235.67,,,,05/17/2019,,,,,,PARTS HOUSE LLC.,0000050083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,7526724,,,,,,,,2122,2963.67,,,,06/05/2011,,,,,,WE SPRAY PESTICIDE CO.,0000050084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,4446737,,,,,,,,7732,3028.00,,,,09/28/2011,,,,,,Digital Supply Co,0000050085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,9503038,,,,,,,,7732,1987.33,,,,01/11/2014,,,,,,Digital Supply Co,0000050086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,8488552,,,,,,,,9834,3267.67,,,,03/26/2015,,,,,,Supply All INC,0000050087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,2151039,,,,,,,,4500,479.67,,,,09/27/2012,,,,,,PARTS HOUSE LLC.,0000050088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,5071801,,,,,,,,4500,2536.00,,,,09/02/2018,,,,,,PARTS HOUSE LLC.,0000050089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,9977679,,,,,,,,7732,1922.67,,,,04/05/2017,,,,,,Digital Supply Co,0000050090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,3231120,,,,,,,,1432,1440.33,,,,11/23/2016,,,,,,WESTERN PACKAGING,0000050091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,7068630,,,,,,,,7732,866.67,,,,08/14/2014,,,,,,Digital Supply Co,0000050092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,3786917,,,,,,,,2342,2728.33,,,,01/25/2015,,,,,,The Walter Co,0000050093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,7353201,,,,,,,,2342,244.00,,,,02/17/2016,,,,,,The Walter Co,0000050094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,2396871,,,,,,,,9834,1049.33,,,,01/01/2012,,,,,,Supply All INC,0000050095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,1269143,,,,,,,,1432,2551.33,,,,09/01/2011,,,,,,WESTERN PACKAGING,0000050096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,9111757,,,,,,,,9834,569.00,,,,05/05/2012,,,,,,Supply All INC,0000050097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,1142623,,,,,,,,7732,1332.33,,,,04/01/2014,,,,,,Digital Supply Co,0000050098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,1525946,,,,,,,,2122,1237.00,,,,09/07/2015,,,,,,WE SPRAY PESTICIDE CO.,0000050099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,5119352,,,,,,,,2342,811.67,,,,04/17/2013,,,,,,The Walter Co,0000050100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,5075769,,,,,,,,4500,287.33,,,,08/05/2018,,,,,,PARTS HOUSE LLC.,0000050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,9979977,,,,,,,,4500,337.33,,,,01/07/2016,,,,,,PARTS HOUSE LLC.,0000050102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,2156662,,,,,,,,9153,283.33,,,,02/21/2013,,,,,,Water Supply INC,0000050103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,5623732,,,,,,,,2342,1039.67,,,,11/28/2012,,,,,,The Walter Co,0000050104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,8897474,,,,,,,,2122,3125.33,,,,04/18/2019,,,,,,WE SPRAY PESTICIDE CO.,0000050105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,6738658,,,,,,,,2122,2906.33,,,,01/18/2010,,,,,,WE SPRAY PESTICIDE CO.,0000050106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,9289058,,,,,,,,4500,7.67,,,,03/26/2017,,,,,,PARTS HOUSE LLC.,0000050107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,4891008,,,,,,,,4500,3108.00,,,,07/16/2015,,,,,,PARTS HOUSE LLC.,0000050108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,8279825,,,,,,,,2049,2960.33,,,,01/06/2016,,,,,,Example Company 1,0000050109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,6262405,,,,,,,,9153,2633.67,,,,08/20/2012,,,,,,Water Supply INC,0000050110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,4101290,,,,,,,,9834,1720.00,,,,10/11/2014,,,,,,Supply All INC,0000050111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,711749,,,,,,,,2049,756.00,,,,05/25/2017,,,,,,Example Company 1,0000050112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,1140420,,,,,,,,2342,1765.33,,,,01/13/2018,,,,,,The Walter Co,0000050113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,5868575,,,,,,,,4500,149.00,,,,06/18/2015,,,,,,PARTS HOUSE LLC.,0000050114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,9508809,,,,,,,,2342,612.00,,,,05/12/2012,,,,,,The Walter Co,0000050115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,4389542,,,,,,,,9153,2990.00,,,,08/07/2018,,,,,,Water Supply INC,0000050116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,2254542,,,,,,,,7732,2840.00,,,,03/04/2015,,,,,,Digital Supply Co,0000050117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,4147134,,,,,,,,1432,2972.00,,,,03/26/2019,,,,,,WESTERN PACKAGING,0000050118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,2845907,,,,,,,,2049,3151.33,,,,02/09/2014,,,,,,Example Company 1,0000050119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,1149097,,,,,,,,2049,786.67,,,,06/12/2016,,,,,,Example Company 1,0000050120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,9487910,,,,,,,,7732,89.00,,,,08/07/2014,,,,,,Digital Supply Co,0000050121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,3819411,,,,,,,,2049,1222.00,,,,06/15/2015,,,,,,Example Company 1,0000050122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,7492981,,,,,,,,9834,892.33,,,,06/22/2016,,,,,,Supply All INC,0000050123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,5353488,,,,,,,,2122,1964.00,,,,03/05/2015,,,,,,WE SPRAY PESTICIDE CO.,0000050124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,6524056,,,,,,,,4500,106.33,,,,06/11/2016,,,,,,PARTS HOUSE LLC.,0000050125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,6595156,,,,,,,,9153,2803.67,,,,03/25/2017,,,,,,Water Supply INC,0000050126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,1831877,,,,,,,,7732,2774.33,,,,11/08/2010,,,,,,Digital Supply Co,0000050127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,4414024,,,,,,,,4500,2632.67,,,,07/09/2014,,,,,,PARTS HOUSE LLC.,0000050128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,559140,,,,,,,,2122,1535.67,,,,06/05/2019,,,,,,WE SPRAY PESTICIDE CO.,0000050129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,316424,,,,,,,,2122,2559.33,,,,03/05/2010,,,,,,WE SPRAY PESTICIDE CO.,0000050130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,5718156,,,,,,,,7732,117.33,,,,09/08/2010,,,,,,Digital Supply Co,0000050131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,500696,,,,,,,,4500,2152.67,,,,07/27/2019,,,,,,PARTS HOUSE LLC.,0000050132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,4558578,,,,,,,,7732,2035.00,,,,07/23/2012,,,,,,Digital Supply Co,0000050133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,5856248,,,,,,,,2122,2085.33,,,,10/16/2018,,,,,,WE SPRAY PESTICIDE CO.,0000050134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,920929,,,,,,,,2122,705.67,,,,09/11/2010,,,,,,WE SPRAY PESTICIDE CO.,0000050135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,9821117,,,,,,,,2049,3000.00,,,,09/23/2015,,,,,,Example Company 1,0000050136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
